AA ID EQUIPE,matricula,Data,Equipe,Nr_Ordem,Classe,Causa
01022026_EVL306,311712,2026-02-01,EVL306,15775170,311,490
01022026_EVL306,311465,2026-02-01,EVL306,15775170,311,490
01022026_EVL306,311712,2026-02-01,EVL306,15748983,799,897
01022026_EVL306,311465,2026-02-01,EVL306,15748983,799,897
01022026_EVL306,311712,2026-02-01,EVL306,15777512,341,440
01022026_EVL306,311465,2026-02-01,EVL306,15777512,341,440
01022026_EVL306,311712,2026-02-01,EVL306,15749441,799,897
01022026_EVL306,311465,2026-02-01,EVL306,15749441,799,897
01022026_EVL306,311712,2026-02-01,EVL306,15777760,311,620
01022026_EVL306,311465,2026-02-01,EVL306,15777760,311,620
01022026_EVL306,311712,2026-02-01,EVL306,15749246,799,897
01022026_EVL306,311465,2026-02-01,EVL306,15749246,799,897
01022026_EVL306,311712,2026-02-01,EVL306,15778185,341,440
01022026_EVL306,311465,2026-02-01,EVL306,15778185,341,440
02022026_EVL306,311195,2026-02-02,EVL306,15778189,343,490
02022026_EVL306,31519,2026-02-02,EVL306,15778189,343,490
02022026_EVL306,311195,2026-02-02,EVL306,15778189,343,490
02022026_EVL306,31519,2026-02-02,EVL306,15778189,343,490
02022026_EVL306,311195,2026-02-02,EVL306,15783104,311,440
02022026_EVL306,31519,2026-02-02,EVL306,15783104,311,440
02022026_EVL306,311195,2026-02-02,EVL306,15815701,341,301
02022026_EVL306,31519,2026-02-02,EVL306,15815701,341,301
02022026_EVL306,311195,2026-02-02,EVL306,15782821,311,620
02022026_EVL306,31519,2026-02-02,EVL306,15782821,311,620
02022026_EVL306,311195,2026-02-02,EVL306,15783254,311,620
02022026_EVL306,31519,2026-02-02,EVL306,15783254,311,620
02022026_EVL306,311195,2026-02-02,EVL306,15783566,341,440
02022026_EVL306,31519,2026-02-02,EVL306,15783566,341,440
03022026_EVL306,1112262,2026-02-03,EVL306,15787606,311,10
03022026_EVL306,311826,2026-02-03,EVL306,15787606,311,10
03022026_EVL306,1112262,2026-02-03,EVL306,15788183,341,440
03022026_EVL306,311826,2026-02-03,EVL306,15788183,341,440
03022026_EVL306,1112262,2026-02-03,EVL306,15788555,311,490
03022026_EVL306,311826,2026-02-03,EVL306,15788555,311,490
03022026_EVL306,1112262,2026-02-03,EVL306,15789008,341,620
03022026_EVL306,311826,2026-02-03,EVL306,15789008,341,620
04022026_EVL306,1112341,2026-02-04,EVL306,15793555,129,880
04022026_EVL306,311911,2026-02-04,EVL306,15793555,129,880
04022026_EVL306,1112341,2026-02-04,EVL306,15793410,311,10
04022026_EVL306,311911,2026-02-04,EVL306,15793410,311,10
04022026_EVL306,1112341,2026-02-04,EVL306,15793798,341,620
04022026_EVL306,311911,2026-02-04,EVL306,15793798,341,620
04022026_EVL306,1112341,2026-02-04,EVL306,15793933,341,620
04022026_EVL306,311911,2026-02-04,EVL306,15793933,341,620
05022026_EVL306,1112341,2026-02-05,EVL306,15798465,104,440
05022026_EVL306,311911,2026-02-05,EVL306,15798465,104,440
05022026_EVL306,1112341,2026-02-05,EVL306,15798731,311,490
05022026_EVL306,311911,2026-02-05,EVL306,15798731,311,490
05022026_EVL306,1112341,2026-02-05,EVL306,15800050,311,490
05022026_EVL306,311911,2026-02-05,EVL306,15800050,311,490
05022026_EVL306,1112341,2026-02-05,EVL306,15801340,129,880
05022026_EVL306,311911,2026-02-05,EVL306,15801340,129,880
